PGC,Name,RA,Dec,DCom,T,B.T,armC,armS,armR,barL,iRing,oRing,pRing,Pert,vDust,pDust,floc,spot,inc
212,IC5381,0.7971,15.9651,160.0,1,0.50,0.25,0.75,NA,0.25,0.50,0.00,0.00,0.25,0.75,0.25,0.25,0.00,0.75
218,NGC7814,0.8121,16.1454,15.8,0,0.75,NA,NA ,NA,NA,NA,NA,NA,0.00,1.00,0.00,0.00,0.00,1.00
243,NGC7808,0.8839,-10.7446,123.7,-2,1.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.00,0.00,0.00
255,UGC00017,0.9300,15.2183,13.3,9,0.00,0.00,NA,0.25,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.25,0.25
281,PGC000281,1.0025,-11.1778,161.9,7,0.25,0.00,0.25,0.75,0.25,0.00,0.00,0.00,0.50,0.25,NA,0.50,0.25,0.25
282,PGC000282,1.0063,-11.1743,159.8,6,0.25,0.75,0.50,1.00,0.00,0.25,0.00,0.00,0.25,0.25,NA,0.50,0.25,0.25
451,UGC00043,1.5103,14.4174,76.0,8,0.00,0.00,NA,NA,0.25,0.00,NA,NA,0.25,0.25,NA,0.25,0.00,0.75
548,UGC00056,1.7572,14.1063,78.1,8,0.25,0.25,0.25,1.00,0.25,0.25,0.00,0.00,0.50,0.25,NA,0.50,0.25,0.25
635,PGC000635,2.1429,-10.9494,128.3,2,0.50,0.25,0.75,0.00,1.00,0.50,0.00,0.00,0.50,0.25,NA,0.25,0.00,0.00
639,UGC00072,2.1596,-0.7347,168.9,1,0.75,0.00,NA,0.75,NA,0.00,NA,NA,0.50,1.00,0.25,0.25,0.00,0.75
647,NGC0014,2.1933,15.8164,13.1,9,0.00,0.00,NA,0.50,0.50,0.00,0.25,0.00,0.25,0.25,NA,0.50,0.50,0.25
670,UGC00083,2.3318,0.5990,253.6,4,0.50,NA,NA,NA,NA,NA,NA,NA,0.00,0.25,NA,0.25,0.00,1.00
825,UGC00109,2.9563,-1.0874,88.3,8,0.25,0.00,NA,0.75,0.25,0.00,0.00,0.00,0.50,0.25,NA,0.75,0.50,0.25
963,UGC00139,3.6331,-0.7379,56.0,6,0.25,0.50,0.50,1.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.75,0.25,0.50
1058,NGC0060,3.9930,-0.3037,167.0,6,0.50,0.50,0.25,NA,0.00,0.25,0.00,0.00,0.75,0.25,NA,0.50,0.25,0.00
1221,PGC001221,4.7087,-10.3617,115.2,6,0.25,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.75,0.50,0.50,0.50,0.25
1224,PGC001224,4.7120,-10.3769,114.4,3,0.50,0.50,0.25,1.00,0.25,0.25,0.00,0.00,1.00,0.50,0.50,0.75,0.50,0.00
1237,UGC00180,4.7849,15.7493,156.6,3,0.50,0.25,NA,NA,0.25,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.00,0.75
1293,UGC00189,4.9902,15.0920,109.5,7,0.25,0.00,NA,NA,0.75,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.25,0.25
1306,NGC0078A,5.1077,0.8259,72.1,1,0.50,0.25,0.75,1.00,1.00,0.00,0.00,0.25,0.00,0.25,NA,0.00,0.00,0.50
1309,NGC0078B,5.1146,0.8333,77.9,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
1478,UGC00219,5.7382,16.2530,75.3,6,0.25,0.50,NA,NA,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.25,0.00,0.75
1523,NGC0099,5.9979,15.7705,76.4,6,0.25,0.75,0.50,1.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.75,0.25,0.00
1621,UGC00247,6.4963,14.3479,159.0,5,0.25,0.50,NA,0.75,0.50,0.00,0.00,0.00,0.25,0.25,NA,0.25,0.00,0.75
1713,UGC00272,6.9577,-1.2000,55.1,7,0.00,0.50,0.50,0.00,0.25,0.00,0.00,0.00,0.25,0.00,NA,0.50,0.00,0.50
1747,UGC00280,7.0858,-0.2182,259.4,3,0.50,0.50,0.25,0.00,0.75,0.50,0.00,0.00,0.25,0.25,NA,0.25,0.00,0.00
1781,UGC00290,7.2853,15.8991,11.6,10,0.00,NA,NA,NA,NA,0.00,NA,NA,0.00,0.00,NA,0.50,0.25,1.00
1805,UGC00295,7.3874,-1.0959,248.2,4,0.50,0.75,0.00,1.00,0.75,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.50
1841,PGC001841,7.5292,-11.1133,48.9,3,0.50,0.50,0.50,1.00,0.25,0.00,0.00,0.00,0.00,0.50,0.50,0.75,0.00,0.50
1862,PGC001862,7.6245,-8.7840,75.5,6,0.25,0.50,0.50,1.00,0.25,0.00,0.00,0.00,0.00,0.50,0.50,0.75,0.00,0.75
1909,PGC001909,7.8054,-10.4808,50.0,4,0.25,0.75,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.75,0.00,0.50
1932,PGC001932,7.8987,-10.5061,49.8,4,0.25,0.50,NA,NA,NA,0.00,NA,NA,0.50,1.00,0.75,0.75,0.00,0.75
1933,UGC00316,7.8997,14.6120,162.5,6,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.50,0.25,0.25,0.00,1.00
1936,UGC00317,7.9305,0.9006,76.0,8,0.25,0.00,NA,0.75,0.75,0.25,0.00,0.00,0.00,0.00,NA,0.50,0.00,0.00
2016,UGC00328,8.3425,-1.1214,27.8,8,0.00,0.25,0.50,NA,0.50,0.00,0.00,0.00,0.25,0.00,NA,0.50,0.00,0.00
2035,NGC0151,8.5092,-9.7064,52.3,2,0.50,0.25,0.50,0.00,0.75,0.25,0.00,0.00,0.25,0.50,0.50,0.50,0.00,0.50
2076,NGC0155,8.6670,-10.7665,87.2,-3,0.75,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
2149,NGC0163,8.9992,-10.1217,83.8,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.25,0.00,NA,0.00,0.00,0.25
2151,PGC002151,9.0079,-9.8889,69.2,7,0.25,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.50,0.25,NA,0.75,0.00,0.25
2182,NGC0165,9.1196,-10.1050,82.5,5,0.50,0.50,0.75,1.00,0.50,0.25,0.00,0.00,0.25,0.50,0.50,0.00,0.00,0.25
2269,PGC002269,9.4892,-9.2536,73.6,6,0.25,0.75,0.50,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.75,0.25,0.00
2288,UGC00386,9.5991,15.0393,77.0,1,0.75,0.00,NA,0.50,1.00,0.00,0.00,0.00,0.00,0.25,NA,0.00,0.00,0.50
2331,NGC0191,9.7471,-9.0026,85.3,1,0.75,0.25,0.50,0.00,0.50,0.25,0.00,0.00,1.00,0.50,0.50,0.25,0.00,0.00
2332,IC1563,9.7508,-9.0148,86.2,-3,0.75,0.00,NA,NA,NA,NA,NA,NA,0.25,0.25,NA,0.00,0.00,1.00
2352,NGC0192,9.8061,0.8637,58.5,1,0.75,0.25,0.50,1.00,0.25,0.75,0.00,0.00,0.00,0.75,0.50,0.25,0.00,0.50
2357,NGC0196,9.8246,0.9124,59.8,-3,0.75,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.75
2365,NGC0197,9.8286,0.8917,58.1,8,0.25,0.00,NA,NA,0.50,0.00,0.00,0.00,0.25,0.25,NA,0.25,0.00,0.00
2388,NGC0201,9.8955,0.8597,62.3,5,0.25,0.50,0.50,1.00,0.50,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.00,0.25
2391,NGC0195,9.8992,-9.1944,68.7,3,0.50,0.25,0.50,0.00,0.25,0.25,0.25,1.00,0.00,0.75,0.50,0.50,0.00,0.25
2440,IC1571,10.1582,-0.3313,82.8,6,0.25,0.75,0.50,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.00,0.00
2482,NGC0217,10.3910,-10.0219,55.3,1,0.50,0.25,0.75,NA,0.50,0.25,0.00,0.00,0.25,0.75,0.50,0.25,0.00,0.75
2501,PGC002501,10.4600,-9.3032,234.8,-4,0.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
2522,NGC0219,10.5471,0.9045,77.4,-6,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
2527,NGC0223,10.5664,0.8455,75.7,0,0.75,0.25,NA,1.00,0.00,0.25,0.00,0.00,0.00,0.50,0.50,0.25,0.00,0.25
2597,NGC0237,10.8663,-0.1255,58.9,3,0.25,0.50,0.50,0.00,0.25,0.00,0.00,0.00,0.25,0.75,0.50,1.00,0.50,0.25
2600,NGC0234,10.8852,14.3424,64.0,4,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.25,0.75,0.75,1.00,0.50,0.25
2615,UGC00466,10.9665,0.8018,77.2,6,0.25,0.25,NA,NA,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.00,0.50
2768,UGC00488,11.8310,14.7032,167.4,2,0.50,0.50,0.25,0.00,0.75,0.00,0.00,0.00,0.00,0.25,NA,0.25,0.00,0.25
2800,PGC002800,11.9433,-9.8347,80.8,2,0.50,0.25,0.50,NA,0.25,0.75,0.50,0.00,0.00,0.50,0.50,0.25,0.25,0.75
2805,PGC002805,11.9475,-9.8992,18.0,9,0.00,NA,NA,NA,0.25,0.00,NA,NA,0.25,0.00,NA,0.50,0.00,1.00
2889,UGC00507,12.3989,1.1152,74.0,5,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,1.00,0.25,0.50,0.00,1.00
3072,UGC00533,13.1169,14.5180,78.5,7,0.00,0.50,0.50,1.00,0.50,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.00,0.75
3140,NGC0291,13.3742,-8.7678,80.0,3,0.50,0.25,0.50,0.00,0.75,0.75,0.00,0.00,0.25,0.50,0.50,0.25,0.00,0.50
3232,UGC00560,13.6992,13.6583,77.9,10,0.00,0.00,NA,NA,0.25,0.00,0.00,0.00,0.00,0.00,NA,0.50,0.25,0.00
3312,PGC003312,13.9770,-0.9208,190.1,-3,0.75,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.00,0.00,0.50
3314,UGC00572,14.0089,14.2302,169.5,6,0.25,0.25,0.50,1.00,0.25,0.00,0.00,0.00,0.00,0.00,NA,0.75,0.00,0.25
3355,UGC00582,14.0959,13.8763,347.1,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
3377,NGC0309,14.1771,-9.9142,79.4,5,0.25,0.50,0.50,0.00,0.25,0.50,0.00,0.00,0.50,0.50,0.50,0.50,0.25,0.00
3451,PGC003451,14.4392,-0.4122,173.7,-4,0.75,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.00,0.00,0.50
3496,PGC003496,14.6287,-10.1575,95.9,8,0.00,0.25,NA,0.75,0.25,0.00,0.00,0.00,0.50,0.25,NA,1.00,0.00,0.75
3563,UGC00615,14.9177,15.3310,78.9,1,0.75,0.25,0.75,1.00,0.25,0.00,0.00,0.00,0.00,0.50,0.25,0.25,0.00,0.50
3566,UGC00618,14.9260,0.9165,74.7,7,0.25,0.25,0.50,1.00,0.00,0.00,0.00,0.00,0.50,0.00,NA,0.75,0.00,0.00
3569,UGC00619,14.9529,14.7236,173.3,6,0.25,NA,NA,NA,NA,NA,NA,NA,0.25,0.25,NA,0.50,0.00,1.00
3584,PGC003584,15.0162,-11.0822,75.7,2,0.50,0.50,0.50,1.00,0.50,0.00,0.00,0.00,0.00,0.25,NA,0.25,0.00,0.00
3620,NGC0341,15.1904,-9.1856,63.6,3,0.50,0.50,0.50,1.00,0.75,0.25,0.00,0.00,0.50,0.25,NA,0.50,0.50,0.00
3781,UGC00651,15.9122,-0.4913,73.8,8,0.00,0.25,0.25,0.75,0.25,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.25,0.75
3817,NGC0359,16.0710,-0.7649,76.0,-4,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
3830,UGC00663,16.1057,-0.1876,214.5,-4,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
3833,NGC0364,16.1707,-0.8029,72.3,-2,0.75,0.00,NA,0.75,0.25,0.25,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
3904,UGC00675,16.5303,0.7760,73.4,8,0.25,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,NA,0.25,0.00,0.00
3960,IC1620,16.8096,13.9553,163.0,4,0.25,0.50,0.50,0.00,0.75,0.50,0.00,0.00,0.25,0.25,NA,0.50,0.25,0.25
3976,NGC0391,16.8445,0.9259,75.7,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
4116,UGC00717,17.3420,14.3424,163.8,2,0.50,0.50,0.50,1.00,0.75,0.50,0.00,0.00,0.50,0.50,0.25,0.25,0.00,0.50
4124,UGC00719,17.3705,14.3630,160.2,2,0.50,0.25,0.50,1.00,1.00,0.50,0.00,0.50,0.50,0.25,NA,0.25,0.25,0.25
4363,NGC0426,18.2028,-0.2904,74.5,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
4367,NGC0428,18.2324,0.9810,15.8,7,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.75,0.25,NA,0.50,0.50,0.25
4368,NGC0429,18.2397,-0.3454,79.6,-2,0.75,0.00,NA,NA,0.25,NA,NA,NA,0.00,0.00,NA,0.00,0.00,1.00
4376,NGC0430,18.2502,-0.2526,75.1,-3,0.75,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
4415,UGC00771,18.4247,-0.1031,73.0,0,0.75,0.25,NA,NA,0.00,0.00,0.00,0.00,0.00,0.50,NA,0.00,0.00,0.50
4416,UGC00772,18.4149,0.8752,16.0,10,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.50,0.00,NA,0.50,0.25,0.25
4484,NGC0442,18.6618,-1.0207,78.7,1,0.75,0.00,NA,NA,0.00,0.00,NA,NA,0.00,1.00,0.25,0.00,0.00,0.75
4485,UGC00790,18.6560,1.1808,65.5,8,0.00,0.50,NA,0.25,0.25,0.00,0.00,0.00,0.25,0.75,0.50,1.00,0.00,0.00
4500,UGC00797,18.7396,0.4308,189.9,-4,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
4540,NGC0450,18.8867,-0.8547,24.4,6,0.25,0.50,0.50,1.00,0.25,0.00,0.00,0.00,0.25,0.25,NA,1.00,0.50,0.25
4608,UGC00823,19.1501,1.2018,71.9,8,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.25,0.00,0.25
4647,PGC004647,19.3771,-9.2967,26.3,10,0.00,0.25,NA,NA,0.25,0.00,0.00,0.00,0.00,0.00,NA,0.50,0.00,0.75
4663,PGC004663,19.4500,-8.6064,56.6,8,0.00,0.00,NA,0.75,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.50,0.00,0.25
4734,UGC00847,19.7688,-0.1389,73.8,6,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.50,0.25,0.50,0.00,1.00
4793,NGC0471,19.9979,14.7867,59.4,-2,0.75,0.00,NA,0.50,0.00,1.00,0.25,0.00,0.25,0.50,0.00,0.00,0.00,0.25
4805,UGC00866,20.0286,-0.2058,24.2,8,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.25,0.00,0.75
4812,UGC00867,20.0643,-0.3361,197.9,4,0.25,0.50,0.50,1.00,0.00,0.25,0.00,0.00,0.00,0.25,NA,0.75,0.00,0.00
4897,PGC004897,20.2890,15.6947,73.4,8,0.00,0.50,NA,0.25,0.00,0.00,0.00,0.00,0.50,0.25,NA,0.75,0.00,0.25
4899,NGC0481,20.3017,-9.2111,77.4,-2,1.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
4906,UGC00892,20.3196,-0.5445,73.8,2,0.50,0.25,0.50,1.00,1.00,0.75,0.00,0.00,0.25,0.00,NA,0.25,0.00,0.00
4979,NGC0493,20.5397,0.9465,32.7,7,0.00,0.50,NA,0.75,0.25,0.00,0.00,0.00,0.50,0.75,0.50,0.75,0.25,0.75
4992,NGC0497,20.5997,-0.8754,115.0,4,0.25,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.25,0.75,0.50,0.50,0.00,0.50
5055,UGC00928,20.8020,-0.6414,116.7,-3,0.75,0.00,NA,0.50,0.00,NA,NA,NA,0.00,0.00,NA,0.00,0.00,0.75
5056,UGC00929,20.8073,-0.3855,105.5,6,0.25,0.75,0.50,1.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.75,0.25,0.00
5078,UGC00933,20.8486,15.2145,145.7,1,0.75,0.00,NA,0.75,0.75,0.25,0.25,0.00,0.25,0.00,NA,0.25,0.00,0.25
5220,UGC00971,21.2027,1.0364,66.8,10,0.00,NA,NA,NA,NA,0.00,NA,NA,0.00,0.00,NA,0.25,0.00,1.00
5261,IC1698,21.3421,14.8386,94.0,0,0.50,0.00,NA,NA,0.00,1.00,0.25,0.00,0.00,0.50,0.25,0.00,0.00,0.75
5270,UGC00985,21.3487,14.5200,157.5,4,0.50,0.50,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.25,0.00,0.00,0.75
5271,IC1700,21.3533,14.8644,90.8,-2,1.00,0.00,NA,0.50,0.00,0.25,0.00,0.00,0.25,0.00,NA,0.00,0.00,0.25
5291,UGC00998,21.4146,0.1297,72.1,8,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.00,0.75
5298,UGC00999,21.3946,14.9752,223.1,6,0.25,0.50,NA,NA,0.25,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.00,0.75
5326,NGC0548,21.5110,-1.2259,76.4,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
5330,UGC01011,21.5208,0.3158,26.7,8,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.25,0.00,0.75
5366,UGC01018,21.6227,0.5487,76.8,10,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.25,0.25,0.25
5415,UGC01026,21.8054,13.6031,64.5,8,0.00,0.25,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.50,0.00,0.25
5436,UGC01040,21.8998,-1.1053,62.6,-3,0.50,0.00,NA,NA,0.50,NA,NA,NA,0.00,0.00,NA,0.00,0.00,1.00
5449,UGC01043,21.9294,-1.1397,73.8,-1,0.50,0.00,NA,NA,0.75,0.50,0.00,0.00,0.25,0.00,NA,0.00,0.00,0.25
5527,UGC01057,22.2223,13.7935,90.4,5,0.25,0.50,NA,1.00,0.25,0.00,0.00,0.00,0.25,0.25,NA,0.75,0.00,0.75
5539,NGC0570,22.2446,-0.9490,78.1,1,0.50,0.00,0.75,0.75,1.00,0.50,0.00,0.75,0.00,0.25,NA,0.25,0.00,0.00
5540,UGC01062,22.2485,-0.5622,77.2,-2,0.75,0.00,NA,0.50,0.50,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
5574,UGC01072,22.4340,-1.2416,73.0,-2,0.75,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
5645,UGC01083,22.7428,14.1082,64.7,4,0.25,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.75,0.00,0.50
5673,UGC01087,22.8613,14.2771,64.3,6,0.25,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.75,0.25,0.00
5688,NGC0585,22.9255,-0.9330,76.6,1,0.75,NA,NA,NA,0.50,NA,NA,NA,0.00,1.00,0.25,0.25,0.00,1.00
5771,IC0138,23.2588,-0.6900,65.3,6,0.25,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.75,0.00,0.25
5776,UGC01107,23.2813,0.1755,70.0,8,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.25,0.00
5792,UGC01110,23.3243,13.3322,39.8,7,0.00,0.50,NA,0.25,0.50,0.00,0.00,0.00,0.00,0.00,NA,0.50,0.00,0.75
5803,UGC01116,23.3940,-1.0907,66.6,6,0.25,0.25,NA,NA,NA,NA,NA,NA,0.25,0.50,0.75,0.75,0.00,0.75
5830,UGC01120,23.5104,-1.0772,65.5,3,0.50,0.50,NA,0.25,0.25,0.25,NA,NA,0.25,0.50,0.50,0.25,0.00,0.75
5838,UGC01123,23.5321,-1.0325,69.2,1,0.50,0.25,NA,NA,0.25,0.50,NA,NA,0.00,0.50,0.25,0.00,0.00,0.75
5932,NGC0624,23.9625,-10.0028,82.1,2,0.50,0.50,0.75,0.00,0.50,0.50,0.00,0.00,0.25,0.50,0.50,0.50,0.00,0.50
5939,NGC0622,24.0005,0.6636,72.8,2,0.50,0.25,0.50,0.00,0.75,0.50,0.00,0.00,0.25,0.25,NA,0.25,0.00,0.50
6004,PGC006004,24.3146,-9.1976,174.1,-4,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
6005,UGC01156,24.3377,14.4628,150.5,3,0.25,0.50,0.50,0.00,0.75,1.00,0.00,0.00,0.00,0.25,NA,0.50,0.00,0.25
6090,UGC01169,24.6976,1.0716,70.2,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
6155,NGC0647,24.9838,-9.2423,179.0,-2,0.75,0.00,NA,0.50,0.25,0.00,0.00,0.00,0.50,0.50,NA,0.00,0.00,0.25
6193,UGC01181,25.1254,14.5226,115.6,6,0.25,NA,NA,NA,NA,0.00,NA,NA,0.00,0.25,NA,0.50,0.00,1.00
6292,UGC01195,25.6129,13.9767,11.3,9,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.75,0.25,NA,0.50,0.25,0.75
6309,UGC01200,25.7016,13.1556,11.8,9,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.25,0.25,0.50
6318,NGC0660,25.7572,13.6434,12.4,3,0.50,0.25,0.00,0.25,0.75,0.00,0.00,0.00,1.00,1.00,0.50,0.25,0.00,0.75
6364,UGC01211,25.9799,13.8062,34.4,8,0.00,0.00,NA,0.25,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.25,0.00,0.25
6450,PGC006450,26.3686,-10.0933,218.2,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
6504,PGC006504,26.6583,-8.6789,24.6,10,0.00,0.25,0.00,NA,0.00,0.00,0.00,0.00,0.25,0.00,NA,0.50,0.00,0.75
6505,IC0159,26.6037,-8.6369,54.3,7,0.00,0.25,0.25,1.00,0.50,0.00,0.00,0.00,0.50,0.25,NA,0.75,0.25,0.50
6516,UGC01242,26.6540,14.6918,104.8,8,0.00,0.00,0.25,NA,0.25,0.00,0.00,0.00,0.50,0.25,NA,0.50,0.25,0.00
6627,UGC01261,27.1397,13.4306,71.5,6,0.25,0.50,0.50,NA,0.00,0.00,NA,NA,0.00,0.50,0.50,0.50,0.00,0.75
6628,UGC01262,27.1431,13.7013,72.6,9,0.25,0.00,NA,NA,0.25,0.00,0.00,0.00,0.00,0.00,NA,0.50,0.00,0.50
6636,UGC01264,27.1581,13.7685,68.3,7,0.00,NA,NA,NA,NA,NA,NA,NA,0.00,0.25,NA,0.50,0.00,1.00
6637,PGC006637,27.1512,-10.3261,21.4,9,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.25,0.00,0.75
6657,UGC01271,27.2506,13.2111,71.9,-1,0.50,0.25,0.50,1.00,0.75,0.50,0.00,0.00,0.25,0.00,NA,0.00,0.00,0.50
6667,PGC006667,27.2933,-10.0611,26.9,7,0.00,0.25,0.25,0.00,0.25,0.00,0.00,0.00,0.50,0.25,NA,1.00,0.50,0.25
6670,UGC01274,27.2985,12.8531,112.0,0,0.75,NA,NA,NA,NA,NA,NA,NA,0.00,0.50,0.25,0.00,0.00,1.00
6671,NGC0681,27.2946,-10.4263,23.5,2,0.75,NA,NA,NA,0.00,NA,NA,NA,0.00,1.00,0.75,0.50,0.00,1.00
6673,NGC0677,27.3087,13.0552,72.6,-5,1.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
6678,UGC01278,27.3384,12.7145,142.3,6,0.25,0.25,0.50,0.25,0.25,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.00,0.50
6826,NGC0701,27.7658,-9.7022,24.6,3,0.50,0.50,0.25,0.00,0.50,0.00,0.00,0.00,0.25,0.75,0.75,1.00,0.25,0.50
6832,IC1738,27.7825,-9.7914,181.7,3,0.50,0.50,0.75,0.00,0.50,0.25,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.25
6835,UGC01321,27.7947,-1.0283,180.4,-2,0.75,0.00,NA,NA,0.25,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
6855,UGC01322,27.8749,13.1317,68.7,6,0.25,0.75,0.50,1.00,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.00,0.00
6861,NGC0707,27.8633,-8.5058,75.3,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
6888,UGC01333,27.9523,0.2636,249.8,1,0.50,0.50,1.00,1.00,0.00,0.00,0.00,0.00,0.50,0.25,NA,0.25,0.00,0.25
6982,NGC0716,28.2487,12.7078,64.9,3,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.25,0.75,0.75,0.50,0.25,0.75
6986,UGC01354,28.2707,-1.0753,251.1,5,0.25,0.25,NA,0.25,0.25,0.00,0.00,0.00,0.00,0.50,0.25,0.25,0.00,0.75
7022,UGC01362,28.4615,14.7641,112.7,8,0.00,0.00,0.25,NA,0.75,0.00,0.00,0.00,0.00,0.00,NA,0.50,0.00,0.25
7042,UGC01364,28.5154,14.9094,72.8,8,0.00,0.25,0.50,1.00,0.75,0.00,0.00,0.00,0.25,0.00,NA,0.50,0.00,0.00
7046,UGC01367,28.5336,-0.7426,67.0,8,0.00,NA,NA,NA,NA,0.00,NA,NA,0.00,0.00,NA,0.50,0.00,1.00
7063,UGC01370,28.6017,13.5411,88.7,-1,0.75,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.00,0.00,0.75
7064,PGC007064,28.5753,-9.7135,219.5,-4,0.75,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
7090,UGC01382,28.6710,-0.1433,81.3,-3,1.00,0.00,NA,0.50,0.25,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
7114,UGC01386,28.7486,13.4829,91.0,3,0.50,NA,NA,NA,NA,0.75,NA,NA,0.00,0.50,0.50,0.25,0.00,1.00
7118,NGC0731,28.7342,-9.0108,53.2,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
